Text,LanguageCode,Language
"2 girls 1 cup","en","English"
"2 girls 1 cup","en","English"
"2g1c","en","English"
"2g1c","en","English"
"4r5e","en","English"
"4r5e","en","English"
"5h1t","en","English"
"5h1t","en","English"
"5hit","en","English"
"5hit","en","English"
"5ht","en","English"
"666","en","English"
"@$$","en","English"
"@$$","en","English"
"a s s","en","English"
"a s s","en","English"
"a s shole","en","English"
"a s shole","en","English"
"a55","en","English"
"a55","en","English"
"a55hole","en","English"
"a_s_s","en","English"
"a_s_s","en","English"
"abbo","en","English"
"abbo","en","English"
"abeed","en","English"
"abeed","en","English"
"abuse","en","English"
"abuse","en","English"
"acrotomophilia","en","English"
"acrotomophilia","en","English"
"aeolus","en","English"
"aeolus","en","English"
"africoon","en","English"
"africoon","en","English"
"ahole","en","English"
"ahole","en","English"
"alabama hot pocket","en","English"
"alabama hot pocket","en","English"
"alaskan pipeline","en","English"
"alaskan pipeline","en","English"
"alligator bait","en","English"
"alligator bait","en","English"
"alligatorbait","en","English"
"alligatorbait","en","English"
"amcik","en","English"
"amcik","en","English"
"anal","en","English"
"analannie","en","English"
"analprobe","en","English"
"analprobe","en","English"
"analsex","en","English"
"analsex","en","English"
"andskota","en","English"
"andskota","en","English"
"anilingus","en","English"
"anus","en","English"
"anus","en","English"
"apeshit","en","English"
"apeshit","en","English"
"ar5e","en","English"
"ar5e","en","English"
"arabush","en","English"
"arabush","en","English"
"arabushs","en","English"
"arabushs","en","English"
"areola","en","English"
"areole","en","English"
"areole","en","English"
"argie","en","English"
"argie","en","English"
"armo","en","English"
"armo","en","English"
"armos","en","English"
"aroused","en","English"
"aroused","en","English"
"arrse","en","English"
"arrse","en","English"
"arschloch","en","English"
"arse","en","English"
"arsehole","en","English"
"aryan","en","English"
"ash0le","en","English"
"ash0les","en","English"
"ash0les","en","English"
"asholes","en","English"
"asholes","en","English"
"ass","en","English"
"ass","en","English"
"ass monkey","en","English"
"ass monkey","en","English"
"ass-fucker","en","English"
"ass-fucker","en","English"
"ass-hat","en","English"
"ass-hat","en","English"
"ass-pirate","en","English"
"assbag","en","English"
"assbagger","en","English"
"assbandit","en","English"
"assbang","en","English"
"assbanged","en","English"
"assbanger","en","English"
"assbangs","en","English"
"assbite","en","English"
"assblaster","en","English"
"assclown","en","English"
"asscock","en","English"
"asscowboy","en","English"
"asscracker","en","English"
"asses","en","English"
"assface","en","English"
"assfuck","en","English"
"assfucker","en","English"
"assfukka","en","English"
"assgoblin","en","English"
"assh0le","en","English"
"assh0lez","en","English"
"asshat","en","English"
"asshead","en","English"
"assho1e","en","English"
"asshole","en","English"
"assholes","en","English"
"assholz","en","English"
"asshopper","en","English"
"asshore","en","English"
"assjacker","en","English"
"assjockey","en","English"
"asskiss","en","English"
"asskisser","en","English"
"assklown","en","English"
"asslick","en","English"
"asslicker","en","English"
"asslover","en","English"
"assman","en","English"
"assmaster","en","English"
"assmonkey","en","English"
"assmunch","en","English"
"assmuncher","en","English"
"assnigger","en","English"
"asspacker","en","English"
"asspirate","en","English"
"asspuppies","en","English"
"assrammer","en","English"
"assranger","en","English"
"assshit","en","English"
"assshole","en","English"
"asssucker","en","English"
"asswad","en","English"
"asswhole","en","English"
"asswhore","en","English"
"asswipe","en","English"
"asswipes","en","English"
"auto erotic","en","English"
"autoerotic","en","English"
"ayir","en","English"
"azazel","en","English"
"azz","en","English"
"azzhole","en","English"
"b a s t a r d","en","English"
"b i t c h","en","English"
"b o o b","en","English"
"b!+ch","en","English"
"b!tch","en","English"
"b!tchin","en","English"
"b*tch","en","English"
"b00b","en","English"
"b00bies","en","English"
"b00biez","en","English"
"b00bs","en","English"
"b00bz","en","English"
"b17ch","en","English"
"b1tch","en","English"
"b7ch","en","English"
"babeland","en","English"
"babes","en","English"
"baby batter","en","English"
"baby juice","en","English"
"backdoor","en","English"
"backdoorman","en","English"
"badfuck","en","English"
"bagging","en","English"
"ball gag","en","English"
"ball gravy","en","English"
"ball kicking","en","English"
"ball licking","en","English"
"ball sack","en","English"
"ball sucking","en","English"
"ballbag","en","English"
"balllicker","en","English"
"ballsack","en","English"
"bampot","en","English"
"bangbro","en","English"
"bangbros","en","English"
"bangbus","en","English"
"banger","en","English"
"banging","en","English"
"bareback","en","English"
"barely legal","en","English"
