Domain,Disposable,Free,Blacklist
"0.pl","false","true","false"
"0-00.usa.cc","false","true","false"
"0-00.usa.cc","false","true","false"
"001.igg.biz","false","true","false"
"001.igg.biz","false","true","false"
"0039.cf","false","true","false"
"0039.cf","false","true","false"
"0039.ga","false","true","false"
"0039.ga","false","true","false"
"0039.gq","false","true","false"
"0039.gq","false","true","false"
"0039.ml","false","true","false"
"007addict.com","false","true","false"
"007addict.com","false","true","false"
"00b2bcr51qv59xst2.cf","false","true","false"
"00b2bcr51qv59xst2.ga","false","true","false"
"00b2bcr51qv59xst2.ga","false","true","false"
"00b2bcr51qv59xst2.ml","false","true","false"
"020.co.uk","false","true","false"
"020.co.uk","false","true","false"
"02466.cf","false","true","false"
"02466.ga","false","true","false"
"02466.ml","false","true","false"
"02466.ml","false","true","false"
"027168.com","true","false","false"
"027168.com","false","true","false"
"0317123.cn","false","true","false"
"0317123.cn","false","true","false"
"07819.cf","false","true","false"
"07819.cf","false","true","false"
"07819.gq","false","true","false"
"07819.gq","false","true","false"
"07819.tk","false","true","false"
"07819.tk","false","true","false"
"080mail.com","false","true","false"
"080mail.com","false","true","false"
"0815.ru","true","false","false"
"0815.ru0clickemail.com","false","true","false"
"0815.ru0clickemail.com","false","true","false"
"0815.ry","false","true","false"
"0815.ry","false","true","false"
"0815.su","true","false","false"
"0815.su","false","true","false"
"0845.ru","true","false","false"
"0845.ru","false","true","false"
"08-gazeta.ru","false","true","false"
"08-gazeta.ru","false","true","false"
"08-life.ru","false","true","false"
"08-life.ru","false","true","false"
"08-mir.ru","false","true","false"
"08-novosti.ru","false","true","false"
"08-novosti.ru","false","true","false"
"0ak.org","false","true","false"
"0ak.org","false","true","false"
"0box.eu","true","false","false"
"0clickemail.com","true","false","false"
"0clickemail.com","false","true","false"
"0clock.net","false","true","false"
"0clock.net","false","true","false"
"0clock.org","false","true","false"
"0hboy.com","false","true","false"
"0hboy.com","false","true","false"
"0hcow.com","false","true","false"
"0hdear.com","false","true","false"
"0hdear.com","false","true","false"
"0hio.net","false","true","false"
"0hio.org","false","true","false"
"0hio.org","false","true","false"
"0hiolce.com","false","true","false"
"0hiolce.com","false","true","false"
"0hioln.com","false","true","false"
"0hioln.com","false","true","false"
"0ils.net","false","true","false"
"0ils.org","false","true","false"
"0ils.org","false","true","false"
"0ld0ak.com","false","true","false"
"0ld0ak.com","false","true","false"
"0ld0x.com","false","true","false"
"0ld0x.com","false","true","false"
"0live.org","false","true","false"
"0live.org","false","true","false"
"0-mail.com","true","false","false"
"0-mail.com","false","true","false"
"0mel.com","false","true","false"
"0mel.com","false","true","false"
"0mixmail.info","false","true","false"
"0n0ff.net","true","false","false"
"0nce.net","false","true","false"
"0nce.net","false","true","false"
"0ne0ak.com","false","true","false"
"0ne0ak.com","false","true","false"
"0ne0ut.com","false","true","false"
"0ne0ut.com","false","true","false"
"0nedrive.gq","false","true","false"
"0nedrive.gq","false","true","false"
"0nelce.com","true","false","false"
"0nelce.com","false","true","false"
"0nes.net","false","true","false"
"0nes.org","false","true","false"
"0nly.org","false","true","false"
"0rdering.com","false","true","false"
"0regon.org","false","true","false"
"0sg.net","false","true","false"
"0u.ro","false","true","false"
"0utln.com","false","true","false"
"0v.ro","true","false","false"
"0w.ro","true","false","false"
"0wnd.net","true","false","false"
"0wnd.org","true","false","false"
